Zone;Produit;Origine;Disponibilité alimentaire (Kcal/personne/jour);Disponibilité alimentaire en quantité (kg/personne/an);Disponibilité de matière grasse en quantité (g/personne/jour);Disponibilité de protéines en quantité (g/personne/jour);Disponibilité intérieure;Aliments pour animaux;Autres Utilisations;Exportations - Quantité;Importations - Quantité;Nourriture;Pertes;Production;Semences;Traitement;Variation de stock
Indonésie;Plantes Aquatiques;animale;0;0;0;0;5016;;5016;161;2;0;;5176;;;
Nigéria;Millet;vegetale;197;24.48;2.11;5.07;5000;250;;0;0;4249;437;5000;64;;0
Serbie;Maïs;vegetale;197;23.05;0.65;4.56;4996;4309;1;879;11;219;294;5864;30;144;
Kenya;Lait - Excl Beurre;animale;163;94.86;9.22;7.65;4982;427;6;14;52;4207;341;4944;;;0
Fédération de Russie;Avoine;vegetale;10;1.8;0.17;0.43;4931;3298;;23;22;257;75;4932;1300;;
Éthiopie;Blé;vegetale;284;31.26;0.88;8.47;4906;;1600;3;868;2942;245;4039;119;0;3
Pays-Bas;Blé;vegetale;558;70.17;2.57;17.88;4901;2900;656;1331;4720;1176;29;1335;98;42;178
Malaisie;Palmistes;vegetale;;;;;4880;;;2;23;;;4859;;4880;0
Allemagne;Seigle;vegetale;76;9.59;0.27;1.92;4872;3318;;682;659;793;116;4689;58;586;205
États-Unis d'Amérique;Orge;vegetale;5;0.5;0.03;0.14;4867;1440;0;696;864;160;;4683;107;3161;16
Costa Rica;Sucre, canne;vegetale;;;;;4850;8;;0;0;;295;4850;36;4511;
Malawi;Manioc;vegetale;147;76.62;0.35;1.53;4814;2880;;0;0;1254;680;4814;;;0
Pakistan;Sucre Eq Brut;vegetale;254;26.09;;;4772;;;1165;14;4752;;4952;;20;971
République dominicaine;Sucre, canne;vegetale;;;;;4771;;;;;;;4771;;4771;
République-Unie de Tanzanie;Manioc;vegetale;140;73.02;0.33;1.45;4746;640;30;9;0;3597;480;4755;;;0
Roumanie;Blé;vegetale;992;134.87;4.84;31.84;4743;521;662;4866;988;2926;42;7296;590;2;1324
Pérou;Pommes de Terre;vegetale;222;82.5;0.45;4.7;4704;;300;1;134;2506;1100;4571;700;98;
Mexique;Légumes, Autres;vegetale;27;34;0.25;1.25;4697;0;0;4231;192;4159;541;8686;;;50
Thaïlande;Fruits, Autres;vegetale;63;57.56;0.56;0.72;3791;;;2671;261;3857;396;6141;;6;60
Mexique;Sucre Eq Brut;vegetale;366;37.54;;;4646;;54;3009;233;4592;;6975;;;448
Bélarus;Sucre, betterave;vegetale;;;;;4643;34;;0;0;;23;4343;;4586;300
République-Unie de Tanzanie;Maïs;vegetale;523;58.47;2.98;12.37;4614;950;1;91;80;2880;680;5356;82;22;-730
République de Corée;Riz (Eq Blanchi);vegetale;928;85.18;2.26;16.55;4598;;28;5;569;4196;329;3756;24;21;278
Cameroun;Manioc;vegetale;289;97.74;0.27;2.32;4596;950;;1;0;2175;1471;4596;;;
Mexique;Oranges, Mandarines;vegetale;24;33.51;0.01;0.46;4593;;;352;40;4099;493;4904;;;2
Royaume-Uni;Légumes, Autres;vegetale;48;64.11;0.42;2.34;4561;85;;253;2679;4063;412;2135;;;0
Iran (République islamique d');Pommes de Terre;vegetale;104;50.64;0.28;1.66;4546;;6;57;6;3922;460;4598;159;0;
Algérie;Légumes, Autres;vegetale;73;105.76;0.47;3.43;4542;0;;11;80;4147;398;4472;;0;0
Malawi;Pommes de Terre;vegetale;249;131.69;0.31;5.12;4535;450;1270;1;0;2155;454;4536;207;;0
Inde;Haricots;vegetale;28;3.04;0.11;1.78;4512;226;;4;886;3806;181;3630;300;;
France;Graines Colza/Moutarde;vegetale;1;0;0;0;4462;1;;1362;1140;3;;4384;8;4450;300
Royaume-Uni;Bière;vegetale;94;70.01;;0.96;4437;;;671;913;4437;;4196;;;
République de Corée;Blé;vegetale;392;50.84;1.56;11.21;4436;1900;0;103;4906;2505;30;19;1;0;-386
Bangladesh;Sucre, canne;vegetale;2;1.92;0.01;0.01;4434;;;;0;300;4;4434;;4130;0
Mexique;Fruits, Autres;vegetale;32;31.47;0.7;0.46;4414;;;1845;437;3850;570;5823;;;0
Pakistan;Maïs;vegetale;129;14.54;1.78;3.51;4387;910;441;165;25;2649;228;4527;114;46;0
Ouganda;Bananes plantains;vegetale;246;101.04;0.55;2.21;4374;0;;0;0;3797;140;4375;;437;
États-Unis d'Amérique;Sorgho;vegetale;7;0.74;0.07;0.2;4362;2351;;2515;216;236;;9882;22;1753;-3220
Inde;Poissons Eau Douce;animale;7;3.48;0.24;1.04;4354;;0;20;7;4354;;4367;;;
Philippines;Fruits, Autres;vegetale;46;42.15;0.47;0.53;4314;;;333;79;4147;163;4568;;4;0
Indonésie;Sucre Eq Brut;vegetale;150;15.5;;;4306;;435;33;3398;3872;;2080;;0;-1138
Éthiopie;Lait - Excl Beurre;animale;72;44.14;3.81;4.06;4296;18;0;5;13;4153;129;4288;;;0
Belgique;Blé;vegetale;792;111.91;2.66;23.68;4293;1000;375;2431;4570;1243;28;1804;38;1608;350
Allemagne;Viande de Suides;animale;237;51.81;19.51;14.26;4286;;;2407;1187;4286;;5507;;;0
Bangladesh;Lait - Excl Beurre;animale;37;21.91;2;2.05;4283;545;;0;752;3431;307;3531;;;0
Kazakhstan;Légumes, Autres;vegetale;86;139.76;0.58;2.94;4163;1348;341;8;440;2298;113;3731;30;33;0
Éthiopie;Sorgho;vegetale;216;25.51;2.08;6.35;4156;;1500;12;30;2401;218;4338;37;;-200
Brésil;Pommes de Terre;vegetale;32;17.9;0.08;1.06;4123;;9;3;556;3587;288;3570;240;;0
Paraguay;Soja;vegetale;0;0;;0;4096;301;;5117;27;0;716;9086;139;2940;100
Brésil;Tomates;vegetale;11;18.41;0.15;0.42;4088;;;7;107;3689;399;3987;;;
Danemark;Blé;vegetale;623;98;2.49;19.6;4074;3288;4;889;640;551;124;4145;107;;177
Pakistan;Graines de coton;vegetale;;;;;4025;1008;297;5;0;;81;4030;126;2514;0
Zambie;Sucre, canne;vegetale;;;;;4000;;;;;;;4000;;4000;
Fédération de Russie;Tomates;vegetale;14;27.35;0.16;0.63;3995;;;10;1360;3906;89;2644;;;0
Inde;Arachides Decortiquees;vegetale;5;0.36;0.41;0.21;3992;;;557;1;445;199;6630;255;3093;-2082
États-Unis d'Amérique;Bananes;vegetale;19;11.73;0.1;0.23;3982;;;590;4565;3755;228;7;;;
Égypte;Pommes de Terre;vegetale;75;36.46;0.2;1.2;3967;;39;527;229;2992;445;4265;492;;
Suisse;Lait - Excl Beurre;animale;398;318.69;25.77;24.56;3958;816;476;580;507;2574;;4032;;91;0
Fédération de Russie;Viande de Volailles;animale;92;27.5;5.83;9.27;3957;;;30;530;3928;;3457;;29;0
États-Unis d'Amérique;Vin;vegetale;16;8.47;;0;3909;;1199;417;1109;2710;;3217;;;0
Nigéria;Racines nda;vegetale;21;8.99;0.02;0.37;3900;;1170;0;0;1560;1170;3900;;;
Ouganda;Sucre, canne;vegetale;3;4.52;0.01;0.04;3900;;;0;;170;80;3900;;3650;
Zimbabwe;Sucre, canne;vegetale;;;;;3880;;;0;;;;3880;;3880;
Venezuela (République bolivarienne du);Maïs;vegetale;368;55.25;1.47;8.16;3872;2042;1;0;2396;1680;97;2045;2;51;-569
Tchéquie (la);Sucre, betterave;vegetale;;;;;3865;0;;0;122;;;3744;;3865;
Indonésie;Lait - Excl Beurre;animale;19;14.82;0.7;1.32;3863;65;54;122;2589;3704;40;1388;;0;7
Mexique;Soja;vegetale;0;0.02;0;0.01;3854;959;330;0;3615;2;116;239;7;2440;0
Fédération de Russie;Pommes;vegetale;25;23.44;0.14;0.05;3853;;;31;2312;3348;225;1572;;280;0
Malaisie;Maïs;vegetale;119;15.82;1.27;2.84;3846;3171;22;24;3883;470;174;86;0;10;-100
Espagne;Légumes, Autres;vegetale;43;59.16;0.29;2.07;3840;223;;4800;653;2776;859;7938;;0;49
Maurice;Sucre, canne;vegetale;;;;;3816;;;;;;;3816;;3816;
Iran (République islamique d');Fruits, Autres;vegetale;55;44.16;0.52;0.74;3811;;;136;15;3420;381;3931;;10;0
Égypte;Riz (Eq Blanchi);vegetale;417;39.77;0.84;8.01;3802;115;148;333;24;3264;227;3818;49;;292
Mozambique;Sucre, canne;vegetale;1;0.74;;0;3800;;;;;19;76;3800;;3705;
Nigéria;Agrumes, Autres;vegetale;13;18.61;0.1;0.25;3800;;;0;0;3230;570;3800;;;
Thaïlande;Ananas;vegetale;10;10.02;0.04;0.08;782;;;1449;9;671;110;2209;;;13
Inde;Beurre, Ghee;animale;70;3.03;7.9;0.04;3789;;;9;1;3789;;3798;;;0
Nigéria;Blé;vegetale;155;20.82;0.46;4.33;3788;20;0;3;3711;3615;149;80;4;;0
États-Unis d'Amérique;Graines de coton;vegetale;;;;;3774;1800;;211;181;;;3813;160;1814;-8
Inde;Oeufs;animale;10;2.58;0.69;0.76;3763;;;73;0;3231;384;3835;152;;0
Pologne;Bière;vegetale;132;98.24;;1.35;3754;;;257;55;3754;;3956;;;
Soudan;Sorgho;vegetale;588;73.59;7.03;16.79;3723;214;500;0;99;2794;;4524;68;147;-900
Pologne;Orge;vegetale;34;6.51;0.11;0.94;3715;2320;;331;317;249;155;2934;208;783;795
Indonésie;Huile de Palme;vegetale;116;4.8;13.16;0;3714;;2514;23333;152;1200;;26896;;;0
Malawi;Maïs;vegetale;1125;129.24;12.11;29.64;3699;510;0;2;61;2115;999;3640;55;20;0
Kenya;Maïs;vegetale;663;76.2;7.14;17.47;3697;115;48;6;112;3380;74;3391;61;20;200
Turquie;Pommes de Terre;vegetale;78;40.04;0.11;1.85;3697;0;52;329;79;3000;395;3948;250;;0
Bénin;Manioc;vegetale;327;111.74;0.33;2.64;3694;1210;850;2;0;1153;480;3696;;;
Cameroun;Bananes plantains;vegetale;114;46.88;0.26;1.03;3692;;175;0;;1043;628;3692;;1846;
Mexique;Viande de Volailles;animale;114;30.12;8.57;8.58;3685;;;10;849;3685;;2846;;;
Pérou;Maïs;vegetale;185;19.41;2.2;4.87;3685;2864;;15;2030;590;185;1670;42;5;0
Ghana;Bananes plantains;vegetale;311;127.68;0.7;2.8;3675;;;0;0;3308;368;3675;;;
Fédération de Russie;Viande de Suides;animale;115;25.66;9.42;6.97;3671;;;64;919;3665;6;2816;;0;0
Pays-Bas;Maïs;vegetale;16;2.47;0.05;0.36;3662;2920;441;593;4370;41;30;185;8;222;-300
Venezuela (République bolivarienne du);Lait - Excl Beurre;animale;146;117.79;9.34;8.23;3643;;42;0;1683;3582;33;1960;;;0
Myanmar;Légumes, Autres;vegetale;46;61.18;0.35;2.53;3609;;;4;1;3258;351;3612;;;0
Espagne;Pommes de Terre;vegetale;105;60.04;0.14;2.42;3608;132;420;295;1608;2818;132;2182;99;8;113
Japon;Bière;vegetale;33;28.28;;0.39;3596;;;47;42;3596;;3600;;;
Iran (République islamique d');Orge;vegetale;4;0.49;0.04;0.13;3583;3249;;0;771;38;179;2812;118;0;0
Thaïlande;Poissons Pelagiques;animale;30;9.92;1.33;4.15;665;0;0;1390;1460;665;;595;;;0
Belgique;Lait - Excl Beurre;animale;379;236.19;22.77;23.91;3513;885;165;4337;4332;2623;;3483;;0;35
Sierra Leone;Manioc;vegetale;305;119.12;0.39;2.58;3511;880;;0;0;726;1905;3810;;;-300
Espagne;Bière;vegetale;100;74.67;;1.02;3504;;;149;383;3504;;3270;;;
Iran (République islamique d');Sucre, betterave;vegetale;;;;;3502;;;0;35;;;3467;;3502;
Bangladesh;Blé;vegetale;150;17.47;0.7;4.36;3497;;500;13;2882;2736;221;1255;41;0;-627
Azerbaïdjan;Blé;vegetale;1666;222.4;6.68;49.47;3484;591;264;5;1589;2093;71;1893;142;323;6
Kazakhstan;Pommes de Terre;vegetale;204;111.34;0.3;4.87;3481;383;581;8;146;1831;305;3344;373;9;0
Brésil;Haricots;vegetale;148;16.07;0.7;9.69;3457;;;33;304;3220;105;2936;133;;250
Nigéria;Patates douces;vegetale;37;13.91;0.08;0.5;3450;;;0;0;2415;1035;3450;;;
Allemagne;Soja;vegetale;8;0.88;0.42;0.89;3446;80;;21;3620;72;12;10;;3282;-162
Japon;Sucre, betterave;vegetale;;;;;3435;;;;;;;3435;;3435;
Népal;Légumes, Autres;vegetale;72;110.88;0.62;4.43;3412;0;;10;39;3082;330;3383;;;0
Autriche;Sucre, betterave;vegetale;;;;;3401;;;65;0;;;3466;;3401;
Allemagne;Sucre Eq Brut;vegetale;345;35.61;;;3393;7;440;1327;860;2946;;3613;;0;247
Espagne;Soja;vegetale;0;0.02;0;0.01;3377;16;;19;3394;1;60;1;0;3300;0
Pakistan;Pommes de Terre;vegetale;28;15.33;0.04;0.67;3365;;29;493;56;2793;381;3802;162;;0
Madagascar;Manioc;vegetale;303;124.03;0.4;2.41;3364;196;186;0;1;2843;139;3115;;0;248
Pologne;Maïs;vegetale;;;;;3362;2998;69;951;349;;150;4040;15;131;-75
Fédération de Russie;Seigle;vegetale;56;7.63;0.29;1.47;3355;1548;;55;51;1090;105;3360;413;200;0
Suède;Lait - Excl Beurre;animale;391;341.23;21.22;26.93;3353;54;33;982;1425;3266;0;2910;;;0
République populaire démocratique de Corée;Légumes, Autres;vegetale;76;119.09;0.74;4.56;3346;35;;0;;2965;346;3346;;;
Burkina Faso;Boissons Fermentés;vegetale;168;197.16;;2.7;3339;;;0;2;3339;;3337;;;
Indonésie;Poissons Pelagiques;animale;28;11.59;1.07;4.37;3328;432;0;311;671;2896;;2968;;;0
France;Vin;vegetale;71;37.78;;0;3326;;97;1532;565;2429;16;4293;;785;0
Niger;Millet;vegetale;1006;139.14;8.58;19.73;3322;332;;0;0;2481;399;2922;110;;400
Népal;Riz (Eq Blanchi);vegetale;836;87.75;2.11;16.62;3318;457;1;1;430;2439;361;3005;60;;-116
Afrique du Sud;Blé;vegetale;492;60.13;2.09;15.4;3316;37;;495;1490;3174;74;1870;31;0;450
Tchéquie (la);Blé;vegetale;703;92.67;4.01;20.31;3302;1350;692;1794;396;992;41;4701;188;40;0
Rwanda;Bananes;vegetale;459;279.52;2.3;5.36;3292;;0;0;0;3292;;3292;;;0
Viet Nam;Fruits, Autres;vegetale;43;32.52;0.34;0.47;3292;;;778;412;2981;311;3658;;;0
France;Orge;vegetale;7;1.08;0.01;0.14;3288;2865;29;8491;314;70;83;10316;230;11;1148
Éthiopie;Céréales, Autres;vegetale;254;26.52;0.77;6.97;3274;0;469;0;2;2495;234;4672;76;;-1400
Algérie;Maïs;vegetale;129;15.99;1.12;3.18;3252;2400;;0;3251;627;225;1;0;;0
Madagascar;Sucre, canne;vegetale;4;4.96;0.01;0.04;3250;65;2256;;;114;;3250;65;750;
États-Unis d'Amérique;Oignons;vegetale;8;9.56;0.05;0.29;3238;;;358;437;3059;180;3159;;;
Colombie;Bananes plantains;vegetale;132;53.11;0.15;1.16;3231;333;;94;18;2566;333;3307;;;
Roumanie;Pommes de Terre;vegetale;180;99.51;0.26;4.26;3221;216;67;15;255;2159;50;3290;730;;-309
Afrique du Sud;Bière;vegetale;82;60.91;;0.83;3215;;;66;131;3215;;3150;;;
Fédération de Russie;Fruits, Autres;vegetale;29;22.27;0.24;0.46;3211;;;65;1920;3181;29;1357;;;
Viet Nam;Viande de Suides;animale;344;35;33.02;10.61;3209;;;10;1;3209;;3218;;;
France;Oranges, Mandarines;vegetale;24;48.56;0.09;0.42;3207;;;299;3472;3122;85;34;;;
Serbie;Sucre, betterave;vegetale;;;;;3180;108;;0;0;;;3180;;3072;0
Bénin;Ignames;vegetale;425;154.96;0.85;6.79;3177;318;300;0;0;1600;318;3177;642;;0
Japon;Pommes de Terre;vegetale;37;20.95;0.04;0.59;3154;3;37;1;747;2664;204;2408;149;98;0
Japon;Poissons Pelagiques;animale;51;13.05;2.12;7.18;3135;1476;0;295;1292;1659;;2109;0;;30
États-Unis d'Amérique;Riz (Eq Blanchi);vegetale;72;6.88;0.08;1.33;3119;;142;3522;923;2203;200;5745;109;464;-27
Grèce;Lait - Excl Beurre;animale;379;255.26;25.68;24.13;3114;111;132;589;1736;2840;30;1967;;;0
Angola;Bananes;vegetale;88;53.76;0.19;1.37;3095;;;0;0;1154;625;3095;;1315;
Turquie;Fruits, Autres;vegetale;42;33.45;0.27;0.6;3095;;;1207;45;2506;588;4257;;0;0
Afrique du Sud;Lait - Excl Beurre;animale;85;55.75;5.26;4.55;3093;123;;697;292;2942;32;3260;;0;238
République de Corée;Lait - Excl Beurre;animale;40;29.05;2.03;2.9;3088;1393;222;23;1014;1431;42;2097;;0;
Pologne;Légumes, Autres;vegetale;43;70.6;0.34;1.94;3081;6;;1396;573;2698;377;3904;;;0
Italie;Olives;vegetale;10;3.66;1.06;0.1;3080;;;26;81;223;5;2941;;2853;84
États-Unis d'Amérique;Citrons & Limes;vegetale;3;9.39;0.03;0.09;3071;;1;164;2411;3004;66;824;;0;
Canada;Légumes, Autres;vegetale;61;81;0.56;2.58;3027;;;728;2123;2850;164;1631;16;;0
Canada;Pommes de Terre;vegetale;115;71.07;0.19;3.08;3022;;0;2176;578;2501;403;4620;205;;0
Nigéria;Légumineuses Autres;vegetale;106;11.47;0.46;7.02;3014;600;;1;1;1992;301;3014;121;;0
Maroc;Légumes, Autres;vegetale;53;81.88;0.32;2.13;3012;1;;449;24;2703;309;3437;;0;0
Japon;Soja;vegetale;86;7.34;3.36;7.66;3009;104;;4;2762;933;55;200;6;1911;51
République-Unie de Tanzanie;Sucre, canne;vegetale;5;6.68;0.02;0.05;2992;;;0;;329;30;2992;118;2515;
Roumanie;Légumes, Autres;vegetale;76;120.08;0.66;3.69;2974;200;;66;217;2606;169;2823;;0;1
Turquie;Raisin;vegetale;49;26.27;0.18;0.48;2949;;;1071;9;1969;401;4011;;579;
Iran (République islamique d');Riz (Eq Blanchi);vegetale;287;29.95;0.54;5.5;2943;534;2;6;2310;2320;33;1634;55;0;-994
Pakistan;Riz (Eq Blanchi);vegetale;125;12.25;0.24;2.4;2940;;327;3799;63;2232;204;6767;177;0;-92
Hongrie;Blé;vegetale;810;109.98;3.45;26;2939;1158;7;2814;322;1095;90;5058;280;309;373
Ouganda;Manioc;vegetale;227;75.77;0.21;1.87;2934;21;0;47;1;2847;80;2979;;;1
Népal;Sucre, canne;vegetale;32;39.82;0.22;0.11;2930;;;0;0;1107;293;2930;130;1400;0
Pays-Bas;Pommes de Terre;vegetale;166;90.83;0.24;3.95;2919;550;277;6214;2557;1522;185;6577;238;147;0
Népal;Pommes de Terre;vegetale;148;80.56;0.22;3.53;2913;;;1;223;2239;404;2690;270;;0
Maroc;Orge;vegetale;281;40.3;1.36;7.98;2909;1000;200;0;186;1330;232;2723;127;19;0
Nigéria;Fruits, Autres;vegetale;16;14.72;0.12;0.18;2909;;;1;7;2555;354;2903;;;0
Madagascar;Riz (Eq Blanchi);vegetale;1040;102.53;3.69;22.51;2906;119;0;1;395;2350;355;2408;75;6;104
République-Unie de Tanzanie;Boissons Fermentés;vegetale;52;58.29;;0.73;2905;;;0;1;2871;34;2905;;;0
Malawi;Sucre, canne;vegetale;;;;;2900;;;;;;;2900;;2900;
Brésil;Coco (Incl Coprah);vegetale;48;12.93;4.4;0.56;2899;;;9;87;2590;282;2820;;27;
Danemark;Orge;vegetale;0;0.02;0;0.01;2882;2505;0;1011;120;0;119;3950;129;128;-178
Malaisie;Riz (Eq Blanchi);vegetale;762;81.25;1.72;13.52;2882;52;271;42;1079;2415;131;1737;13;0;108
Ouganda;Maïs;vegetale;415;48.95;2.35;9.82;2858;300;1;147;7;1839;299;2748;33;385;250
Australie;Orge;vegetale;;;;;2854;2350;;6128;10;;35;7472;167;302;1500
Bangladesh;Légumes, Autres;vegetale;14;16.49;0.1;0.67;2852;0;;8;88;2583;269;2772;;;
Hongrie;Maïs;vegetale;2;0.25;0.01;0.05;2852;2099;0;2219;138;3;125;6756;40;585;-1823
Inde;Boissons Alcooliques;vegetale;13;1.62;;;2842;;818;50;30;2024;;2862;;;
Iraq;Légumes, Autres;vegetale;48;75.7;0.28;2.19;2836;;;0;44;2556;280;2792;;;
Yémen;Blé;vegetale;884;110.24;5.77;26.52;2799;;;170;3186;2691;98;232;11;;-449
États-Unis d'Amérique;Avoine;vegetale;19;3.95;0.31;0.79;2797;1430;;102;1851;1265;;1016;103;;32
Bélarus;Lait - Excl Beurre;animale;176;133.73;6.79;12.27;2794;1542;;3999;111;1251;1;6633;;0;49
Italie;Pommes de Terre;vegetale;66;38.16;0.08;1.5;2792;40;248;165;1563;2327;39;1272;138;;122
Arabie saoudite;Blé;vegetale;797;89.47;4.62;23.86;2789;139;;259;2484;2579;56;660;15;;-96
Inde;Alcool, non Comestible;vegetale;;;;;2784;;2784;248;34;;;2998;;;
Égypte;Sucre Eq Brut;vegetale;268;26.63;;;2782;;597;301;998;2186;;2085;;0;0
Nigéria;Bananes plantains;vegetale;39;16.01;0.09;0.35;2780;;;0;;2780;;2780;;;
Allemagne;Céréales, Autres;vegetale;5;0.68;0.01;0.13;2778;2373;228;271;298;56;53;2690;68;;60
Philippines;Blé;vegetale;172;23.12;0.56;4.64;2769;480;14;34;2803;2275;;;;0;0
Inde;Huile de Soja;vegetale;43;1.81;4.89;;2768;;500;0;1108;2268;;1690;;;-29
Irlande;Lait - Excl Beurre;animale;358;291.86;18.43;24.5;2766;666;697;4132;1314;1350;106;5584;;;0
Éthiopie;Sucre, canne;vegetale;;;;;2750;;;0;;;;2750;;2750;
Turquie;Pommes;vegetale;37;33.51;0.17;0.25;2736;;;410;18;2511;219;3128;;6;
Chili;Lait - Excl Beurre;animale;153;116.11;9.09;9.54;2713;605;3;348;374;2046;59;2687;;;0
Fédération de Russie;Soja;vegetale;0;0.05;0;0.02;2705;600;;84;1153;7;28;1636;140;1930;0
République-Unie de Tanzanie;Bananes;vegetale;63;38.07;0.1;1.04;2679;;;0;;1875;536;2679;;268;
Italie;Fruits, Autres;vegetale;55;41.44;0.31;0.75;2678;;;1631;812;2528;141;3498;;10;0
Japon;Viande de Suides;animale;93;20.62;7.66;5.6;2670;;;2;1363;2621;49;1309;;;0
Indonésie;Poissons Eau Douce;animale;17;9.01;0.63;2.74;2651;400;0;63;4;2251;;2710;;;0
Nigéria;Bière;vegetale;20;15.25;;0.21;2648;;;2;0;2648;;2650;;;
Égypte;Oranges, Mandarines;vegetale;23;27.78;0.15;0.51;2642;;;1156;7;2280;379;3792;;;0
Pakistan;Fruits, Autres;vegetale;17;14.09;0.13;0.17;2632;;;177;97;2567;66;2713;;0;
Philippines;Manioc;vegetale;64;23.27;0.19;0.44;2632;142;201;4;276;2289;;2361;;;0
Argentine;Graines de tournesol;vegetale;;;;;2626;;;87;9;;32;3104;9;2584;-400
Grèce;Maïs;vegetale;14;1.92;0.11;0.35;2621;2233;156;67;428;21;159;2260;11;39;0
Portugal;Maïs;vegetale;131;17.59;0.43;3.04;2619;2319;62;40;1729;187;15;930;4;32;
Bangladesh;Fruits, Autres;vegetale;18;15.05;0.2;0.19;2616;;;24;45;2356;260;2595;;;0
Mexique;Oeufs;animale;66;18.34;4.38;5.08;2616;;;1;101;2243;259;2516;114;;0
Sri Lanka;Riz (Eq Blanchi);vegetale;1062;109.72;1.43;20.24;2613;0;37;11;23;2334;179;3082;61;3;-481
Paraguay;Manioc;vegetale;289;123.52;0.78;1.91;2611;1376;115;164;0;840;280;2800;;;-26
Autriche;Lait - Excl Beurre;animale;269;258.09;15.48;22.23;2595;305;63;1898;1123;2192;34;3425;;;-55
Nouvelle-Zélande;Lait - Excl Beurre;animale;168;137.25;10.8;9.69;2595;679;1102;18944;98;618;195;19469;;0;1972
Argentine;Viande de Bovins;animale;346;55.48;23.73;27.27;2589;;;233;0;2300;289;2822;;;
Tunisie;Blé;vegetale;1576;197.5;5.72;47.59;2582;136;;150;1489;2172;213;975;62;0;268
Argentine;Raisin;vegetale;2;1.05;0.01;0.02;2567;;;305;0;44;145;2872;;2378;0
Indonésie;Soja;vegetale;11;1.12;0.37;1.02;2565;;;4;1789;279;130;780;48;2109;
Japon;Oeufs;animale;76;19.15;5.34;6.02;2560;;;1;39;2435;50;2522;75;0;
Chili;Maïs;vegetale;198;21.04;2.35;5.15;2558;1920;239;102;1142;371;26;1519;2;0;0
Danemark;Sucre, betterave;vegetale;;;;;2550;;;0;0;;;1994;;2550;556
Bangladesh;Poissons Eau Douce;animale;29;16.26;1.04;4.53;2546;;0;18;2;2546;;2561;;;
Ukraine;Bière;vegetale;75;56.08;;0.77;2537;;;262;59;2537;;2740;;;
France;Céréales, Autres;vegetale;7;0.73;0.03;0.2;2527;2421;;109;76;47;;2559;59;0;0
Thaïlande;Huile de Palme;vegetale;67;2.79;7.56;0.01;1367;;1239;713;111;187;;1970;;;0
Brésil;Viande de Suides;animale;92;12.6;8.6;3.33;2525;;0;757;2;2525;;3280;;;
Espagne;Sucre, betterave;vegetale;;;;;2519;;;1;0;;;2519;;2519;
Japon;Viande de Volailles;animale;64;19.42;3.83;6.95;2506;;;9;1056;2469;37;1459;;;
Maroc;Lait - Excl Beurre;animale;73;54.68;3.09;4.96;2498;575;;90;178;1805;118;2410;;;0
Pakistan;Légumes, Autres;vegetale;9;13.23;0.06;0.41;2491;0;;294;69;2409;85;2716;;0;0
République-Unie de Tanzanie;Patates douces;vegetale;123;46.63;0.26;1.66;2470;;;0;0;2297;174;3470;;;-1000
Guatemala;Maïs;vegetale;820;87.25;9.76;21.35;2466;480;0;11;745;1350;55;1732;26;555;0
Ouganda;Boissons Fermentés;vegetale;72;65.2;;0.77;2463;;;0;0;2450;13;2463;;;
Guyana;Sucre, canne;vegetale;;;;;2460;178;51;0;;;123;2460;;2108;
Italie;Viande de Suides;animale;178;40.28;14.71;10.54;2457;;;274;1079;2457;;1652;;0;0
Royaume-Uni;Oranges, Mandarines;vegetale;30;38.3;0.07;0.48;2456;;;188;2644;2428;28;;;;
Royaume-Uni;Sucre Eq Brut;vegetale;377;38.7;;;2453;0;;314;1437;2453;;1439;;0;-109
Brésil;Ananas;vegetale;10;9.77;0.02;0.06;2449;;;10;1;1958;492;2458;;0;
Pays-Bas;Soja;vegetale;0;0.12;0;0.01;2442;0;;1420;3348;2;;;;2440;514
Inde;Citrons & Limes;vegetale;1;1.7;0.05;0.02;2439;;;94;9;2131;252;2524;;55;
Côte d'Ivoire;Manioc;vegetale;326;108.24;0.3;2.66;2436;115;1;0;0;2199;122;2436;;0;0
Fédération de Russie;Viande de Bovins;animale;90;16.98;6.72;6.85;2430;;;9;807;2425;5;1633;;;0
Finlande;Lait - Excl Beurre;animale;508;430.76;31.73;31.86;2418;48;32;807;904;2337;;2328;;;-6
Japon;Graines Colza/Moutarde;vegetale;1;0;0;0;2416;;;0;2472;11;10;2;0;2396;-57
Danemark;Lait - Excl Beurre;animale;329;277.3;19.69;22.87;2387;827;2;3694;980;1558;;5105;;;-4
Pologne;Graines Colza/Moutarde;vegetale;0;0;0;0;2386;;1;769;237;0;;2678;95;2290;240
France;Sucre Eq Brut;vegetale;358;36.71;;;2385;25;;2027;537;2360;;4332;;0;-456
Italie;Oranges, Mandarines;vegetale;36;38.59;0.13;0.69;2379;;;457;414;2354;26;2344;;0;79
Indonésie;Patates douces;vegetale;21;7.61;0.06;0.21;2377;50;;10;0;1902;210;2387;215;;
Colombie;Fruits, Autres;vegetale;55;44.79;1.72;0.63;2370;;;35;102;2164;206;2303;;;0
Fédération de Russie;Oeufs;animale;59;15.43;4.16;4.53;2368;;1;19;71;2204;5;2317;159;;0
Équateur;Lait - Excl Beurre;animale;228;139.6;13.96;12.48;2367;124;1;10;10;2197;47;2367;;;0
Inde;Viande de Volailles;animale;6;1.88;0.41;0.63;2352;;;6;0;2352;;2358;;;
